uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
P28838	nci60_SNB75	41.0	nci60_SNB75	37.83974897	320.6210794331731
P28838	nci60_SW620	25.0	nci60_SW620	74.52353607	187.43297088571666
P28838	nci60_T47D	12.0	nci60_T47D	30.66542817	97.87607535582296
P28838	nci60_U251MG	21.0	nci60_U251MG	53.68612481	142.67243803917978
P28838	nci60_UACC257	36.0	nci60_UACC257	81.83964892	295.0781037049629
P28838	nci60_UACC62	19.0	nci60_UACC62	45.66617943	152.52135879721857
P28838	nci60_UO31	20.0	nci60_UO31	39.97465563	130.28691767774333
P28838	nci60_X786O	36.0	nci60_X786O	349.1898889	268.5306388617516
Q9Y5W9	nci60_A549	9.0	nci60_A549	0.52257949	2.185214094711004
Q9Y5W9	nci60_HOP92	5.0	nci60_HOP92	0.159850467	1.8191353929019023
Q9Y5W9	nci60_HT29	9.0	nci60_HT29	0.18704957	2.8165127405020858
Q9Y5W9	nci60_KM12	9.0	nci60_KM12	0.418241946	3.063357032091271
Q9Y5W9	nci60_NCIH460	7.0	nci60_NCIH460	0.039906881	2.718759465916406
Q9Y5W9	nci60_OVCAR4	5.0	nci60_OVCAR4	0.618891068	2.6143688029573497
Q9Y5W9	nci60_PC3	7.0	nci60_PC3	0.24167072	2.648905993529627
Q9Y5W9	nci60_RPMI8226	7.0	nci60_RPMI8226	2.164781076	2.8341029252307015
Q9Y5W9	nci60_SF295	11.0	nci60_SF295	1.807848584	3.0177470937974054
Q9Y5W9	nci60_SW620	7.0	nci60_SW620	1.480790516	2.9936788165975865
P10646	nci60_A498	23.0	nci60_A498	0.59971793	3.9829109665930273
P10646	nci60_ACHN	25.0	nci60_ACHN	1.143031162	3.4853165532200414
P10646	nci60_Caki1	58.0	nci60_Caki1	0.750427714	4.0249039898986645
P10646	nci60_DU145	9.0	nci60_DU145	0.260175027	2.956834326327214
P10646	nci60_EKVX	8.0	nci60_EKVX	2.021428426	2.8576196804347767
P10646	nci60_HOP62	21.0	nci60_HOP62	2.889124405	4.346477719906109
P10646	nci60_HOP92	17.0	nci60_HOP92	0.178577718	3.138369684294614
P10646	nci60_HT29	11.0	nci60_HT29	0.213579843	2.944693258387153
P10646	nci60_MDAMB231	9.0	nci60_MDAMB231	0.065322436	2.5939759105548115
P10646	nci60_MDAMB435	7.0	nci60_MDAMB435	0.136664346	2.186233771478274
P10646	nci60_NCIH23	6.0	nci60_NCIH23	0.966905822	2.6625817744262847
P10646	nci60_PC3	2.0	nci60_PC3	0.187272513	2.525766926845733
P10646	nci60_SF268	2.0	nci60_SF268	1.33387077	2.3349581949544183
P10646	nci60_SF539	2.0	nci60_SF539	0.197527913	2.53050357125763
P10646	nci60_SKOV3	6.0	nci60_SKOV3	0.295177152	2.4402288861001336
P10646	nci60_UO31	11.0	nci60_UO31	0.261512688	3.0561175003748877
Q9Y216	nci60_A498	0.5	nci60_A498	1.520474453	0.5690828541939479
Q9Y216	nci60_Caki1	0.8	nci60_Caki1	1.742303204	0.7977042241961056
Q9Y216	nci60_DU145	1.0	nci60_DU145	0.934801962	1.1669051089865117
Q9Y216	nci60_HL60	0.7	nci60_HL60	0.045257524	1.122674741162065
Q9Y216	nci60_NCIH226	0.9	nci60_NCIH226	1.65780763	1.0382019482857352
Q9Y216	nci60_OVCAR8	0.6	nci60_OVCAR8	1.210583032	1.286173051152593
O60341	nci60_A498	11.0	nci60_A498	3.164905475	3.9580698480069803
O60341	nci60_A549	22.0	nci60_A549	8.756104714	6.888668031563509
O60341	nci60_ACHN	14.0	nci60_ACHN	7.452108369	7.325265121789981
O60341	nci60_BT549	39.0	nci60_BT549	10.505988	6.31261643564098
O60341	nci60_Caki1	18.0	nci60_Caki1	9.609086424	6.298481906281894
O60341	nci60_DU145	26.0	nci60_DU145	9.372543404	11.841812901826609
O60341	nci60_EKVX	16.0	nci60_EKVX	11.93215736	10.902341137972902
O60341	nci60_HCT116	49.0	nci60_HCT116	2.368997293	11.458682678549506
O60341	nci60_HCT15	42.0	nci60_HCT15	15.64483494	15.010306937567382
O60341	nci60_HL60	16.0	nci60_HL60	23.82886671	7.110153216593892
O60341	nci60_HOP62	29.0	nci60_HOP62	6.860416404	11.531404074730938
O60341	nci60_HOP92	22.0	nci60_HOP92	8.404968752	7.680297508858155
O60341	nci60_HS578T	19.0	nci60_HS578T	8.819866546	9.336592403040385
O60341	nci60_HT29	32.0	nci60_HT29	10.49773909	12.526371157980265
O60341	nci60_IGROV1	37.0	nci60_IGROV1	2.769180819	12.092045016075335
O60341	nci60_K562	40.0	nci60_K562	14.49979729	12.781620247498498
O60341	nci60_KM12	19.0	nci60_KM12	20.06847924	7.091957108586556
O60341	nci60_LOXIMVI	25.0	nci60_LOXIMVI	4.529988331	6.417067050694516
O60341	nci60_MCF7	21.0	nci60_MCF7	30.54236337	6.247844172551815
O60341	nci60_MDAMB231	24.0	nci60_MDAMB231	2.965816958	6.019076412764192
O60341	nci60_MDAMB435	10.0	nci60_MDAMB435	5.80723146	4.466146815708679
O60341	nci60_Malme3M	17.0	nci60_Malme3M	10.29753585	5.039153108088876
O60341	nci60_NCIH226	18.0	nci60_NCIH226	3.879662234	5.1636937544071175
O60341	nci60_NCIH23	30.0	nci60_NCIH23	1.953876555	7.874872444289869
O60341	nci60_NCIH322T	18.0	nci60_NCIH322T	13.38864704	5.354917852722743
O60341	nci60_NCIH460	28.0	nci60_NCIH460	19.32005801	6.17998735363917
O60341	nci60_NCIH522	83.0	nci60_NCIH522	24.09082529	12.404376969089297
O60341	nci60_OVCAR3	24.0	nci60_OVCAR3	33.19449887	6.8866332629933185
O60341	nci60_OVCAR4	20.0	nci60_OVCAR4	19.89993397	5.556388235711256
O60341	nci60_OVCAR8	33.0	nci60_OVCAR8	6.640371201	8.670803469360214
O60341	nci60_PC3	29.0	nci60_PC3	6.166616331	7.4218203325201575
O60341	nci60_RPMI8226	24.0	nci60_RPMI8226	15.74025474	7.148259188523632
O60341	nci60_SF268	26.0	nci60_SF268	4.361888956	7.771378758739539
O60341	nci60_SF295	25.0	nci60_SF295	1.242686892	7.798334605714633
O60341	nci60_SF539	18.0	nci60_SF539	23.64070243	5.8239625091212215
O60341	nci60_SKMEL28	45.0	nci60_SKMEL28	5.705792182	9.835220760977077
O60341	nci60_SKMEL5	20.0	nci60_SKMEL5	15.82385854	6.385271200569438
O60341	nci60_SKOV3	42.0	nci60_SKOV3	7.946596981	9.56819103984916
O60341	nci60_SNB75	21.0	nci60_SNB75	10.78667382	6.6348200835923
O60341	nci60_SW620	44.0	nci60_SW620	4.01699541	9.92207718855347
O60341	nci60_T47D	16.0	nci60_T47D	10.41970887	5.616185372927806
O60341	nci60_U251MG	16.0	nci60_U251MG	8.372641949	5.578278522944252
O60341	nci60_UACC257	36.0	nci60_UACC257	13.9582676	8.945940123892482
O60341	nci60_UACC62	29.0	nci60_UACC62	12.09914202	7.9740996628038925
O60341	nci60_UO31	22.0	nci60_UO31	12.5042303	6.819449538142349
O60341	nci60_X786O	33.0	nci60_X786O	4.246181296	8.871316949499667
Q96JG6	nci60_A498	3.0	nci60_A498	0.794570521	1.8899111910277577
Q96JG6	nci60_A549	3.0	nci60_A549	0.256162045	2.4250307631164167
Q96JG6	nci60_ACHN	6.0	nci60_ACHN	2.210707431	3.4450617092554117
Q96JG6	nci60_BT549	3.0	nci60_BT549	1.163987848	1.600479077744584
Q96JG6	nci60_Caki1	3.0	nci60_Caki1	0.524808924	2.1647546381461504
Q96JG6	nci60_DU145	4.0	nci60_DU145	0.381233331	2.8572610031113856
Q96JG6	nci60_EKVX	5.0	nci60_EKVX	3.393199586	4.300203587637367
Q96JG6	nci60_HCT116	3.0	nci60_HCT116	1.806065036	1.9442152971710795
Q96JG6	nci60_HCT15	4.0	nci60_HCT15	1.733831352	3.813049644616716
Q96JG6	nci60_HL60	2.0	nci60_HL60	0.399514695	2.469542038263651
Q96JG6	nci60_HOP62	2.0	nci60_HOP62	0.307439043	2.222782289032242
Q96JG6	nci60_HOP92	4.0	nci60_HOP92	2.265551524	4.155924768501099
Q96JG6	nci60_HS578T	2.0	nci60_HS578T	0.558473388	3.0485298494361857
Q96JG6	nci60_HT29	4.0	nci60_HT29	1.326959523	3.4635056898586454
Q96JG6	nci60_IGROV1	2.0	nci60_IGROV1	0.464168301	3.139362387544586
Q96JG6	nci60_K562	2.0	nci60_K562	0.350690076	2.208937251070586
Q96JG6	nci60_KM12	4.0	nci60_KM12	1.021081084	3.9335584087182216
Q96JG6	nci60_MCF7	2.0	nci60_MCF7	2.898042143	2.5147989521258634
Q96JG6	nci60_MDAMB231	3.0	nci60_MDAMB231	1.231316775	2.582105192719343
Q96JG6	nci60_MDAMB435	5.0	nci60_MDAMB435	1.514009093	3.824573622624764
