uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q92934	nci60_A498	11.0	nci60_A498	1.938493456	6.512307481504712
Q92934	nci60_A549	14.0	nci60_A549	2.92033649	5.036939030437263
Q92934	nci60_BT549	20.0	nci60_BT549	3.874088647	5.381171570427264
Q92934	nci60_Caki1	27.0	nci60_Caki1	4.767869011	5.759855831134512
Q92934	nci60_DU145	23.0	nci60_DU145	3.244050406	8.131417531978435
Q92934	nci60_HCT116	9.0	nci60_HCT116	0.165646997	5.513714199263223
Q92934	nci60_HCT15	10.0	nci60_HCT15	1.05229317	6.127050446080974
Q92934	nci60_HL60	8.0	nci60_HL60	1.727811879	5.296750896242901
Q92934	nci60_HOP92	26.0	nci60_HOP92	6.079445435	6.663596422808205
Q92934	nci60_HS578T	12.0	nci60_HS578T	3.28930793	6.395513744878921
Q92934	nci60_HT29	16.0	nci60_HT29	3.115412025	5.4674156029150565
Q92934	nci60_K562	10.0	nci60_K562	1.223959641	5.013893583429973
Q92934	nci60_KM12	10.0	nci60_KM12	1.883649363	5.762579304904348
Q92934	nci60_LOXIMVI	25.0	nci60_LOXIMVI	5.300926844	6.509927521664871
Q92934	nci60_MCF7	19.0	nci60_MCF7	4.27538689	5.792137969471121
Q92934	nci60_MDAMB231	32.0	nci60_MDAMB231	0.407763603	5.463363851696728
Q92934	nci60_MDAMB435	21.0	nci60_MDAMB435	3.010628595	6.318349446695247
Q92934	nci60_Malme3M	6.0	nci60_Malme3M	2.515471152	3.949455722809767
Q92934	nci60_NCIH226	34.0	nci60_NCIH226	4.638338856	5.278346845803016
Q92934	nci60_NCIH23	9.0	nci60_NCIH23	0.409770095	5.099921718316533
Q92934	nci60_NCIH322T	23.0	nci60_NCIH322T	5.75706918	6.323063751581337
Q92934	nci60_NCIH460	18.0	nci60_NCIH460	0.367410836	5.3130012264356745
Q92934	nci60_NCIH522	18.0	nci60_NCIH522	1.065000948	5.980808257194987
Q92934	nci60_OVCAR3	17.0	nci60_OVCAR3	18.38369545	6.000333423743737
Q92934	nci60_OVCAR4	22.0	nci60_OVCAR4	3.233572063	6.325767861189835
Q92934	nci60_OVCAR8	35.0	nci60_OVCAR8	6.321562041	6.159694802926495
Q92934	nci60_PC3	34.0	nci60_PC3	3.553718883	7.430917096568221
Q92934	nci60_SF268	24.0	nci60_SF268	3.005723839	6.359411020341061
Q92934	nci60_SF295	25.0	nci60_SF295	4.197802563	7.987786361866338
Q92934	nci60_SF539	11.0	nci60_SF539	0.949070344	5.474497808638035
Q92934	nci60_SKOV3	13.0	nci60_SKOV3	2.183731271	7.357899105001328
Q92934	nci60_SNB75	14.0	nci60_SNB75	0.021625516	5.8637874682801305
Q92934	nci60_SW620	11.0	nci60_SW620	2.171692324	6.773616294180127
Q92934	nci60_T47D	26.0	nci60_T47D	4.888258484	6.538227737563541
Q92934	nci60_U251MG	28.0	nci60_U251MG	4.261787339	8.05798905390465
Q92934	nci60_UACC257	14.0	nci60_UACC257	2.001586458	6.346256120649583
Q92934	nci60_UACC62	13.0	nci60_UACC62	0.565830522	7.184785798557444
Q92934	nci60_UO31	14.0	nci60_UO31	2.026556126	6.637237802086566
P28838	nci60_A498	16.0	nci60_A498	47.86573968	46.57110468753119
P28838	nci60_A549	13.0	nci60_A549	26.24713451	20.69069907171957
P28838	nci60_ACHN	16.0	nci60_ACHN	34.04101522	24.85701851047178
P28838	nci60_BT549	23.0	nci60_BT549	59.13686966	65.12843872387147
P28838	nci60_Caki1	32.0	nci60_Caki1	105.3403428	75.38456298412383
P28838	nci60_DU145	47.0	nci60_DU145	108.5335621	149.92172168282733
P28838	nci60_EKVX	2.0	nci60_EKVX	9.698932641	4.124820143073104
P28838	nci60_HCT116	28.0	nci60_HCT116	109.6901929	71.63453118772641
P28838	nci60_HCT15	30.0	nci60_HCT15	103.951405	109.33542744310733
P28838	nci60_HL60	21.0	nci60_HL60	83.62141312	67.54627206108266
P28838	nci60_HOP62	25.0	nci60_HOP62	82.62329521	74.7111375963247
