uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
Q13275	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	0.295368699	0.3855118706176488
Q13275	tissue29_adrenal.gland	2.0	tissue29_adrenal.gland	0.605797941	0.011945815859102149
Q13275	tissue29_appendix	4.0	tissue29_appendix	0.025703206	0.10017450891610413
Q13275	tissue29_duodenum	6.0	tissue29_duodenum	0.05258582	0.1853658963306235
Q13275	tissue29_endometrium	3.0	tissue29_endometrium	0.067066976	0.06745093333892638
Q13275	tissue29_esophagus	25.0	tissue29_esophagus	1.401306013	0.5654057130009913
Q13275	tissue29_fallopian.tube	11.0	tissue29_fallopian.tube	0.371117465	0.3599175844644713
Q13275	tissue29_heart	3.0	tissue29_heart	0.017295948	0.2699035329865451
Q13275	tissue29_kidney	6.0	tissue29_kidney	0.00894383	0.20661343101243257
Q13275	tissue29_liver	0.7	tissue29_liver	0.098229364	0.3619322575561119
Q13275	tissue29_lung	13.0	tissue29_lung	0.177246127	0.28447781158812724
Q13275	tissue29_lymph.node	1.0	tissue29_lymph.node	0.010219832	0.3509664584093277
Q13275	tissue29_ovary	0.6	tissue29_ovary	0.06811007	0.3151349470588427
Q13275	tissue29_placenta	19.0	tissue29_placenta	0.237468909	0.31067416962450856
Q13275	tissue29_prostate	11.0	tissue29_prostate	0.31169867	0.3335093162274885
Q13275	tissue29_rectum	3.0	tissue29_rectum	0.002748297	0.3146395488833582
Q13275	tissue29_small.intestine	7.0	tissue29_small.intestine	0.106416872	0.2104558802778953
Q13275	tissue29_smooth.muscle	5.0	tissue29_smooth.muscle	0.079521214	0.12422471120044953
Q13275	tissue29_stomach	7.0	tissue29_stomach	0.097141405	0.20239338414204533
Q13275	tissue29_thyroid	9.0	tissue29_thyroid	0.306870962	0.20042172522779822
Q13275	tissue29_tonsil	5.0	tissue29_tonsil	0.00486577	0.17313480617991628
P13569	tissue29_appendix	2.0	tissue29_appendix	0.040805947	-0.10645069841681853
P13569	tissue29_colon	29.0	tissue29_colon	0.005140399	0.44580129666742474
P13569	tissue29_duodenum	22.0	tissue29_duodenum	0.027751389	0.7172526340848551
P13569	tissue29_gall.bladder	32.0	tissue29_gall.bladder	0.079209602	0.7975183259183791
P13569	tissue29_kidney	0.5	tissue29_kidney	0.032349791	-0.0817492837244902
P13569	tissue29_liver	0.5	tissue29_liver	0.012809397	-0.09596970070436817
P13569	tissue29_lung	5.0	tissue29_lung	0.024378593	0.04661592301913031
P13569	tissue29_pancreas	36.0	tissue29_pancreas	4.223275117	1.39957373001476
P13569	tissue29_rectum	29.0	tissue29_rectum	0.027374998	0.7686476680560941
P13569	tissue29_salivary.gland	6.0	tissue29_salivary.gland	0.811950151	0.09629583283648446
P13569	tissue29_small.intestine	8.0	tissue29_small.intestine	0.063431994	0.10741891497453282
P13569	tissue29_stomach	2.0	tissue29_stomach	0.021092347	-0.024907405243851377
P13569	tissue29_testis	0.6	tissue29_testis	0.035980124	-0.11853577195155163
P13569	tissue29_urinary.bladder	0.8	tissue29_urinary.bladder	0.075365223	-0.16036242909607012
Q92934	tissue29_adipose.tissue	6.0	tissue29_adipose.tissue	6.859201492	1.1634553459021029
Q92934	tissue29_adrenal.gland	3.0	tissue29_adrenal.gland	3.211096199	0.027663703476722645
Q92934	tissue29_appendix	2.0	tissue29_appendix	4.029633123	0.22139824812935371
Q92934	tissue29_bone.marrow	3.0	tissue29_bone.marrow	2.935425909	0.1876524972023803
Q92934	tissue29_colon	7.0	tissue29_colon	3.587436339	0.30142730591572153
Q92934	tissue29_duodenum	4.0	tissue29_duodenum	1.084149998	0.3550975570515671
Q92934	tissue29_endometrium	3.0	tissue29_endometrium	1.15312639	0.02883140692471864
Q92934	tissue29_esophagus	1.0	tissue29_esophagus	2.73150323	0.2239591930365934
Q92934	tissue29_fallopian.tube	5.0	tissue29_fallopian.tube	12.02414121	0.25986138742446196
Q92934	tissue29_gall.bladder	2.0	tissue29_gall.bladder	4.291481744	0.2900603984737682
Q92934	tissue29_heart	3.0	tissue29_heart	3.715694092	0.12496223644901527
Q92934	tissue29_kidney	7.0	tissue29_kidney	4.712789537	0.4766257266084126
Q92934	tissue29_liver	2.0	tissue29_liver	4.82211816	0.19515540855100344
Q92934	tissue29_lung	3.0	tissue29_lung	4.365730768	0.23620358543643638
Q92934	tissue29_lymph.node	2.0	tissue29_lymph.node	1.725761226	0.188206749823421
Q92934	tissue29_ovary	2.0	tissue29_ovary	0.654103966	0.21971933780814767
Q92934	tissue29_pancreas	2.0	tissue29_pancreas	2.263192289	0.784188618738213
Q92934	tissue29_placenta	4.0	tissue29_placenta	2.653265978	0.1871013156963799
Q92934	tissue29_prostate	7.0	tissue29_prostate	0.592029075	0.6893342058884866
Q92934	tissue29_rectum	1.0	tissue29_rectum	1.487071369	0.509546126541859
Q92934	tissue29_salivary.gland	7.0	tissue29_salivary.gland	4.003062376	0.5648349276827431
Q92934	tissue29_small.intestine	5.0	tissue29_small.intestine	4.505698392	0.46812549482840105
Q92934	tissue29_smooth.muscle	2.0	tissue29_smooth.muscle	0.492482486	0.22202602690419826
Q92934	tissue29_spleen	4.0	tissue29_spleen	0.115898053	0.2851088661859966
Q92934	tissue29_stomach	8.0	tissue29_stomach	3.539832859	0.46125289741131326
Q92934	tissue29_testis	5.0	tissue29_testis	2.588183983	0.5215950418908724
Q92934	tissue29_thyroid	2.0	tissue29_thyroid	6.412590711	0.34922319539288504
Q92934	tissue29_tonsil	1.0	tissue29_tonsil	3.681714744	0.40946271870662065
Q92934	tissue29_urinary.bladder	2.0	tissue29_urinary.bladder	0.71338101	0.06613112486638961
P28838	tissue29_adipose.tissue	34.0	tissue29_adipose.tissue	248.1943372	63.663542628305166
P28838	tissue29_adrenal.gland	25.0	tissue29_adrenal.gland	115.4028229	6.398367197927225
P28838	tissue29_appendix	61.0	tissue29_appendix	99.91105443	58.31362313883879
P28838	tissue29_bone.marrow	19.0	tissue29_bone.marrow	49.09852191	19.017842341316964
P28838	tissue29_colon	28.0	tissue29_colon	44.63632069	5.543539903281876
P28838	tissue29_duodenum	34.0	tissue29_duodenum	167.1580705	26.15282271909029
P28838	tissue29_endometrium	20.0	tissue29_endometrium	75.09267409	6.356070981415628
P28838	tissue29_esophagus	20.0	tissue29_esophagus	135.5371053	10.443842809261369
P28838	tissue29_fallopian.tube	24.0	tissue29_fallopian.tube	115.5770437	11.228664550520248
P28838	tissue29_gall.bladder	39.0	tissue29_gall.bladder	133.6927689	28.66870687395035
P28838	tissue29_heart	19.0	tissue29_heart	47.62464852	15.232121262186293
P28838	tissue29_kidney	42.0	tissue29_kidney	125.9932685	22.00267653957338
P28838	tissue29_liver	41.0	tissue29_liver	153.1141726	23.419986282913893
P28838	tissue29_lung	48.0	tissue29_lung	209.6954322	41.254606561715455
P28838	tissue29_lymph.node	51.0	tissue29_lymph.node	163.6873362	45.458132064886826
P28838	tissue29_ovary	12.0	tissue29_ovary	173.7417954	10.320216570242481
P28838	tissue29_pancreas	4.0	tissue29_pancreas	67.90059354	3.148718403192274
P28838	tissue29_placenta	34.0	tissue29_placenta	45.61653381	21.175652888755486
P28838	tissue29_prostate	19.0	tissue29_prostate	22.54922444	15.945996875171492
P28838	tissue29_rectum	28.0	tissue29_rectum	60.98099348	20.088125463075954
P28838	tissue29_salivary.gland	15.0	tissue29_salivary.gland	67.78787919	17.628716971205844
P28838	tissue29_small.intestine	28.0	tissue29_small.intestine	108.4534522	33.21604130715985
P28838	tissue29_smooth.muscle	28.0	tissue29_smooth.muscle	59.26224311	21.430024443702433
P28838	tissue29_spleen	45.0	tissue29_spleen	171.7993634	36.65864152209834
P28838	tissue29_stomach	23.0	tissue29_stomach	54.38806091	14.728897118608927
