uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
P28838	nci60_SW620	25.0	nci60_SW620	74.52353607	61.546723214183196
P28838	nci60_T47D	12.0	nci60_T47D	30.66542817	30.80027827187671
P28838	nci60_U251MG	21.0	nci60_U251MG	53.68612481	52.10333502337964
P28838	nci60_UACC257	36.0	nci60_UACC257	81.83964892	82.46067259802102
P28838	nci60_UACC62	19.0	nci60_UACC62	45.66617943	46.874760628949225
P28838	nci60_UO31	20.0	nci60_UO31	39.97465563	49.2411710617193
P28838	nci60_X786O	36.0	nci60_X786O	349.1898889	84.0195395669074
Q9Y5W9	nci60_A549	9.0	nci60_A549	0.52257949	5.239950900750574
Q9Y5W9	nci60_HOP92	5.0	nci60_HOP92	0.159850467	3.688379403900006
Q9Y5W9	nci60_HT29	9.0	nci60_HT29	0.18704957	4.965942266579107
Q9Y5W9	nci60_KM12	9.0	nci60_KM12	0.418241946	4.698259759465165
Q9Y5W9	nci60_NCIH460	7.0	nci60_NCIH460	0.039906881	4.572260109871299
Q9Y5W9	nci60_OVCAR4	5.0	nci60_OVCAR4	0.618891068	3.7702225025916833
Q9Y5W9	nci60_PC3	7.0	nci60_PC3	0.24167072	4.4578235583655195
Q9Y5W9	nci60_RPMI8226	7.0	nci60_RPMI8226	2.164781076	4.550636502065262
Q9Y5W9	nci60_SF295	11.0	nci60_SF295	1.807848584	5.223545098579316
Q9Y5W9	nci60_SW620	7.0	nci60_SW620	1.480790516	4.560567378428965
P10646	nci60_A498	23.0	nci60_A498	0.59971793	0.498469445757598
P10646	nci60_ACHN	25.0	nci60_ACHN	1.143031162	0.5511284916340577
P10646	nci60_Caki1	58.0	nci60_Caki1	0.750427714	1.500486938767239
P10646	nci60_DU145	9.0	nci60_DU145	0.260175027	0.3077743977028571
P10646	nci60_EKVX	8.0	nci60_EKVX	2.021428426	0.2834873432236049
P10646	nci60_HOP62	21.0	nci60_HOP62	2.889124405	0.4505921402058026
P10646	nci60_HOP92	17.0	nci60_HOP92	0.178577718	0.31757252716996964
P10646	nci60_HT29	11.0	nci60_HT29	0.213579843	0.3000878771233979
P10646	nci60_MDAMB231	9.0	nci60_MDAMB231	0.065322436	0.29534509408580933
P10646	nci60_MDAMB435	7.0	nci60_MDAMB435	0.136664346	0.2215548349354186
P10646	nci60_NCIH23	6.0	nci60_NCIH23	0.966905822	0.22662988997333677
P10646	nci60_PC3	2.0	nci60_PC3	0.187272513	0.013148163953620395
P10646	nci60_SF268	2.0	nci60_SF268	1.33387077	0.015865290444120106
P10646	nci60_SF539	2.0	nci60_SF539	0.197527913	0.015246775952415303
P10646	nci60_SKOV3	6.0	nci60_SKOV3	0.295177152	0.22395220774425928
P10646	nci60_UO31	11.0	nci60_UO31	0.261512688	0.3166580871054625
Q9Y216	nci60_A498	0.5	nci60_A498	1.520474453	0.8792106191027147
Q9Y216	nci60_Caki1	0.8	nci60_Caki1	1.742303204	0.9633529666458511
Q9Y216	nci60_DU145	1.0	nci60_DU145	0.934801962	0.8554696348755217
Q9Y216	nci60_HL60	0.7	nci60_HL60	0.045257524	0.873428855250026
Q9Y216	nci60_NCIH226	0.9	nci60_NCIH226	1.65780763	0.9313717148179468
Q9Y216	nci60_OVCAR8	0.6	nci60_OVCAR8	1.210583032	0.8923159861128591
O60341	nci60_A498	11.0	nci60_A498	3.164905475	3.039198498622902
O60341	nci60_A549	22.0	nci60_A549	8.756104714	4.414661669671282
O60341	nci60_ACHN	14.0	nci60_ACHN	7.452108369	3.4755626398655197
O60341	nci60_BT549	39.0	nci60_BT549	10.505988	5.262133464104897
O60341	nci60_Caki1	18.0	nci60_Caki1	9.609086424	3.7758350130633014
O60341	nci60_DU145	26.0	nci60_DU145	9.372543404	4.581630797794467
O60341	nci60_EKVX	16.0	nci60_EKVX	11.93215736	3.5446732439640103
O60341	nci60_HCT116	49.0	nci60_HCT116	2.368997293	5.780394731765419
O60341	nci60_HCT15	42.0	nci60_HCT15	15.64483494	5.335877003013132
