uid	rna_expt	rna_value	prot_expt	prot_value	predicted_prot_value
P28838	nci60_SNB75	41.0	nci60_SNB75	37.83974897	217.03278950155192
P28838	nci60_SW620	25.0	nci60_SW620	74.52353607	135.80821509327242
P28838	nci60_T47D	12.0	nci60_T47D	30.66542817	46.343701746574474
P28838	nci60_U251MG	21.0	nci60_U251MG	53.68612481	108.86309090502306
P28838	nci60_UACC257	36.0	nci60_UACC257	81.83964892	171.54270640721143
P28838	nci60_UACC62	19.0	nci60_UACC62	45.66617943	94.20547265290111
P28838	nci60_UO31	20.0	nci60_UO31	39.97465563	96.86066988131128
P28838	nci60_X786O	36.0	nci60_X786O	349.1898889	154.1543951906042
Q9Y5W9	nci60_A549	9.0	nci60_A549	0.52257949	0.22092722544820864
Q9Y5W9	nci60_HOP92	5.0	nci60_HOP92	0.159850467	0.3368087311824781
Q9Y5W9	nci60_HT29	9.0	nci60_HT29	0.18704957	0.4253587307967941
Q9Y5W9	nci60_KM12	9.0	nci60_KM12	0.418241946	0.2691259397075698
Q9Y5W9	nci60_NCIH460	7.0	nci60_NCIH460	0.039906881	0.47308777035659033
Q9Y5W9	nci60_OVCAR4	5.0	nci60_OVCAR4	0.618891068	0.2465364644873269
Q9Y5W9	nci60_PC3	7.0	nci60_PC3	0.24167072	0.35809918413134545
Q9Y5W9	nci60_RPMI8226	7.0	nci60_RPMI8226	2.164781076	0.3073280185496168
Q9Y5W9	nci60_SF295	11.0	nci60_SF295	1.807848584	0.21372536341563664
Q9Y5W9	nci60_SW620	7.0	nci60_SW620	1.480790516	0.42313830062342217
P10646	nci60_A498	23.0	nci60_A498	0.59971793	8.54371648674672
P10646	nci60_ACHN	25.0	nci60_ACHN	1.143031162	8.955600733615409
P10646	nci60_Caki1	58.0	nci60_Caki1	0.750427714	15.663123257385426
P10646	nci60_DU145	9.0	nci60_DU145	0.260175027	4.874756267083475
P10646	nci60_EKVX	8.0	nci60_EKVX	2.021428426	4.217049442127442
P10646	nci60_HOP62	21.0	nci60_HOP62	2.889124405	7.432575581672626
P10646	nci60_HOP92	17.0	nci60_HOP92	0.178577718	8.93998046969532
P10646	nci60_HT29	11.0	nci60_HT29	0.213579843	5.46026336121404
P10646	nci60_MDAMB231	9.0	nci60_MDAMB231	0.065322436	4.371282739872194
P10646	nci60_MDAMB435	7.0	nci60_MDAMB435	0.136664346	4.9425614144037455
P10646	nci60_NCIH23	6.0	nci60_NCIH23	0.966905822	3.5254590257776393
P10646	nci60_PC3	2.0	nci60_PC3	0.187272513	1.8322644223507791
P10646	nci60_SF268	2.0	nci60_SF268	1.33387077	3.1952564791954465
P10646	nci60_SF539	2.0	nci60_SF539	0.197527913	2.2265179679964033
P10646	nci60_SKOV3	6.0	nci60_SKOV3	0.295177152	4.753756211679242
P10646	nci60_UO31	11.0	nci60_UO31	0.261512688	5.33835863426449
Q9Y216	nci60_A498	0.5	nci60_A498	1.520474453	0.7117573414044485
Q9Y216	nci60_Caki1	0.8	nci60_Caki1	1.742303204	0.1945641824268436
Q9Y216	nci60_DU145	1.0	nci60_DU145	0.934801962	0.046895557839262025
Q9Y216	nci60_HL60	0.7	nci60_HL60	0.045257524	0.36437801514362467
Q9Y216	nci60_NCIH226	0.9	nci60_NCIH226	1.65780763	0.015876942657335302
